usgs_id,year,pumping,metric,value
01095220,dry,constant,first0day,216
01095220,dry,constant,prc0,0.20515068493150684
01095220,dry,seasonal,first0day,191
01095220,dry,seasonal,prc0,0.2653150684931507
01095220,avg,constant,first0day,Inf
01095220,avg,constant,prc0,0
01095220,avg,seasonal,first0day,617
01095220,avg,seasonal,prc0,0.009534246575342466
01095220,wet,constant,first0day,Inf
01095220,wet,constant,prc0,0
01095220,wet,seasonal,first0day,Inf
01095220,wet,seasonal,prc0,0
01095375,dry,constant,first0day,221
01095375,dry,constant,prc0,0.04695890410958904
01095375,dry,seasonal,first0day,201
01095375,dry,seasonal,prc0,0.22663013698630138
01095375,avg,constant,first0day,Inf
01095375,avg,constant,prc0,0
01095375,avg,seasonal,first0day,Inf
01095375,avg,seasonal,prc0,0
01095375,wet,constant,first0day,Inf
01095375,wet,constant,prc0,0
01095375,wet,seasonal,first0day,Inf
01095375,wet,seasonal,prc0,0
01104430,dry,constant,first0day,2
01104430,dry,constant,prc0,0.4658082191780822
01104430,dry,seasonal,first0day,265
01104430,dry,seasonal,prc0,0.2666849315068493
01104430,avg,constant,first0day,Inf
01104430,avg,constant,prc0,0
01104430,avg,seasonal,first0day,Inf
01104430,avg,seasonal,prc0,0
01104430,wet,constant,first0day,Inf
01104430,wet,constant,prc0,0
01104430,wet,seasonal,first0day,Inf
01104430,wet,seasonal,prc0,0
01104460,dry,constant,first0day,Inf
01104460,dry,constant,prc0,0
01104460,dry,seasonal,first0day,Inf
01104460,dry,seasonal,prc0,0
01104460,avg,constant,first0day,Inf
01104460,avg,constant,prc0,0
01104460,avg,seasonal,first0day,Inf
01104460,avg,seasonal,prc0,0
01104460,wet,constant,first0day,Inf
01104460,wet,constant,prc0,0
01104460,wet,seasonal,first0day,Inf
01104460,wet,seasonal,prc0,0
01362500,dry,constant,first0day,Inf
01362500,dry,constant,prc0,0
01362500,dry,seasonal,first0day,Inf
01362500,dry,seasonal,prc0,0
01362500,avg,constant,first0day,Inf
01362500,avg,constant,prc0,0
01362500,avg,seasonal,first0day,Inf
01362500,avg,seasonal,prc0,0
01362500,wet,constant,first0day,Inf
01362500,wet,constant,prc0,0
01362500,wet,seasonal,first0day,Inf
01362500,wet,seasonal,prc0,0
01388000,dry,constant,first0day,Inf
01388000,dry,constant,prc0,0
01388000,dry,seasonal,first0day,218
01388000,dry,seasonal,prc0,0.09046575342465753
01388000,avg,constant,first0day,Inf
01388000,avg,constant,prc0,0
01388000,avg,seasonal,first0day,Inf
01388000,avg,seasonal,prc0,0
01388000,wet,constant,first0day,Inf
01388000,wet,constant,prc0,0
01388000,wet,seasonal,first0day,Inf
01388000,wet,seasonal,prc0,0
01417500,dry,constant,first0day,Inf
01417500,dry,constant,prc0,0
01417500,dry,seasonal,first0day,Inf
01417500,dry,seasonal,prc0,0
01417500,avg,constant,first0day,Inf
01417500,avg,constant,prc0,0
01417500,avg,seasonal,first0day,Inf
01417500,avg,seasonal,prc0,0
01417500,wet,constant,first0day,Inf
01417500,wet,constant,prc0,0
01417500,wet,seasonal,first0day,Inf
01417500,wet,seasonal,prc0,0
01420500,dry,constant,first0day,Inf
01420500,dry,constant,prc0,0
01420500,dry,seasonal,first0day,Inf
01420500,dry,seasonal,prc0,0
01420500,avg,constant,first0day,Inf
01420500,avg,constant,prc0,0
01420500,avg,seasonal,first0day,Inf
01420500,avg,seasonal,prc0,0
01420500,wet,constant,first0day,Inf
01420500,wet,constant,prc0,0
01420500,wet,seasonal,first0day,Inf
01420500,wet,seasonal,prc0,0
01421000,dry,constant,first0day,Inf
01421000,dry,constant,prc0,0
01421000,dry,seasonal,first0day,Inf
01421000,dry,seasonal,prc0,0
01421000,avg,constant,first0day,Inf
01421000,avg,constant,prc0,0
01421000,avg,seasonal,first0day,Inf
01421000,avg,seasonal,prc0,0
01421000,wet,constant,first0day,Inf
01421000,wet,constant,prc0,0
01421000,wet,seasonal,first0day,Inf
01421000,wet,seasonal,prc0,0
01425000,dry,constant,first0day,2958
01425000,dry,constant,prc0,0.1189041095890411
01425000,dry,seasonal,first0day,8798
01425000,dry,seasonal,prc0,0.009095890410958905
01425000,avg,constant,first0day,Inf
01425000,avg,constant,prc0,0
01425000,avg,seasonal,first0day,Inf
01425000,avg,seasonal,prc0,0
01425000,wet,constant,first0day,Inf
01425000,wet,constant,prc0,0
01425000,wet,seasonal,first0day,Inf
01425000,wet,seasonal,prc0,0
01426500,dry,constant,first0day,Inf
01426500,dry,constant,prc0,0
01426500,dry,seasonal,first0day,Inf
01426500,dry,seasonal,prc0,0
01426500,avg,constant,first0day,Inf
01426500,avg,constant,prc0,0
01426500,avg,seasonal,first0day,Inf
01426500,avg,seasonal,prc0,0
01426500,wet,constant,first0day,Inf
01426500,wet,constant,prc0,0
01426500,wet,seasonal,first0day,Inf
01426500,wet,seasonal,prc0,0
01427510,dry,constant,first0day,Inf
01427510,dry,constant,prc0,0
01427510,dry,seasonal,first0day,Inf
01427510,dry,seasonal,prc0,0
01427510,avg,constant,first0day,Inf
01427510,avg,constant,prc0,0
01427510,avg,seasonal,first0day,Inf
01427510,avg,seasonal,prc0,0
01427510,wet,constant,first0day,Inf
01427510,wet,constant,prc0,0
01427510,wet,seasonal,first0day,Inf
01427510,wet,seasonal,prc0,0
01428500,dry,constant,first0day,Inf
01428500,dry,constant,prc0,0
01428500,dry,seasonal,first0day,Inf
01428500,dry,seasonal,prc0,0
01428500,avg,constant,first0day,Inf
01428500,avg,constant,prc0,0
01428500,avg,seasonal,first0day,Inf
01428500,avg,seasonal,prc0,0
01428500,wet,constant,first0day,Inf
01428500,wet,constant,prc0,0
01428500,wet,seasonal,first0day,Inf
01428500,wet,seasonal,prc0,0
01429000,dry,constant,first0day,Inf
01429000,dry,constant,prc0,0
01429000,dry,seasonal,first0day,Inf
01429000,dry,seasonal,prc0,0
01429000,avg,constant,first0day,Inf
01429000,avg,constant,prc0,0
01429000,avg,seasonal,first0day,Inf
01429000,avg,seasonal,prc0,0
01429000,wet,constant,first0day,Inf
01429000,wet,constant,prc0,0
01429000,wet,seasonal,first0day,Inf
01429000,wet,seasonal,prc0,0
01436690,dry,constant,first0day,Inf
01436690,dry,constant,prc0,0
01436690,dry,seasonal,first0day,Inf
01436690,dry,seasonal,prc0,0
01436690,avg,constant,first0day,Inf
01436690,avg,constant,prc0,0
01436690,avg,seasonal,first0day,Inf
01436690,avg,seasonal,prc0,0
01436690,wet,constant,first0day,Inf
01436690,wet,constant,prc0,0
01436690,wet,seasonal,first0day,Inf
01436690,wet,seasonal,prc0,0
01447800,dry,constant,first0day,Inf
01447800,dry,constant,prc0,0
01447800,dry,seasonal,first0day,Inf
01447800,dry,seasonal,prc0,0
01447800,avg,constant,first0day,Inf
01447800,avg,constant,prc0,0
01447800,avg,seasonal,first0day,Inf
01447800,avg,seasonal,prc0,0
01447800,wet,constant,first0day,Inf
01447800,wet,constant,prc0,0
01447800,wet,seasonal,first0day,Inf
01447800,wet,seasonal,prc0,0
01449360,dry,constant,first0day,Inf
01449360,dry,constant,prc0,0
01449360,dry,seasonal,first0day,Inf
01449360,dry,seasonal,prc0,0
01449360,avg,constant,first0day,Inf
01449360,avg,constant,prc0,0
01449360,avg,seasonal,first0day,Inf
01449360,avg,seasonal,prc0,0
01449360,wet,constant,first0day,Inf
01449360,wet,constant,prc0,0
01449360,wet,seasonal,first0day,Inf
01449360,wet,seasonal,prc0,0
01466500,dry,constant,first0day,Inf
01466500,dry,constant,prc0,0
01466500,dry,seasonal,first0day,Inf
01466500,dry,seasonal,prc0,0
01466500,avg,constant,first0day,Inf
01466500,avg,constant,prc0,0
01466500,avg,seasonal,first0day,Inf
01466500,avg,seasonal,prc0,0
01466500,wet,constant,first0day,Inf
01466500,wet,constant,prc0,0
01466500,wet,seasonal,first0day,Inf
01466500,wet,seasonal,prc0,0
01480400,dry,constant,first0day,Inf
01480400,dry,constant,prc0,0
01480400,dry,seasonal,first0day,Inf
01480400,dry,seasonal,prc0,0
01480400,avg,constant,first0day,Inf
01480400,avg,constant,prc0,0
01480400,avg,seasonal,first0day,Inf
01480400,avg,seasonal,prc0,0
01480400,wet,constant,first0day,Inf
01480400,wet,constant,prc0,0
01480400,wet,seasonal,first0day,Inf
01480400,wet,seasonal,prc0,0
01480500,dry,constant,first0day,Inf
01480500,dry,constant,prc0,0
01480500,dry,seasonal,first0day,Inf
01480500,dry,seasonal,prc0,0
01480500,avg,constant,first0day,Inf
01480500,avg,constant,prc0,0
01480500,avg,seasonal,first0day,Inf
01480500,avg,seasonal,prc0,0
01480500,wet,constant,first0day,Inf
01480500,wet,constant,prc0,0
01480500,wet,seasonal,first0day,Inf
01480500,wet,seasonal,prc0,0
01480617,dry,constant,first0day,Inf
01480617,dry,constant,prc0,0
01480617,dry,seasonal,first0day,Inf
01480617,dry,seasonal,prc0,0
01480617,avg,constant,first0day,Inf
01480617,avg,constant,prc0,0
01480617,avg,seasonal,first0day,Inf
01480617,avg,seasonal,prc0,0
01480617,wet,constant,first0day,Inf
01480617,wet,constant,prc0,0
01480617,wet,seasonal,first0day,Inf
01480617,wet,seasonal,prc0,0
01480870,dry,constant,first0day,Inf
01480870,dry,constant,prc0,0
01480870,dry,seasonal,first0day,Inf
01480870,dry,seasonal,prc0,0
01480870,avg,constant,first0day,Inf
01480870,avg,constant,prc0,0
01480870,avg,seasonal,first0day,Inf
01480870,avg,seasonal,prc0,0
01480870,wet,constant,first0day,Inf
01480870,wet,constant,prc0,0
01480870,wet,seasonal,first0day,Inf
01480870,wet,seasonal,prc0,0
01481000,dry,constant,first0day,Inf
01481000,dry,constant,prc0,0
01481000,dry,seasonal,first0day,Inf
01481000,dry,seasonal,prc0,0
01481000,avg,constant,first0day,Inf
01481000,avg,constant,prc0,0
01481000,avg,seasonal,first0day,Inf
01481000,avg,seasonal,prc0,0
01481000,wet,constant,first0day,Inf
01481000,wet,constant,prc0,0
01481000,wet,seasonal,first0day,Inf
01481000,wet,seasonal,prc0,0
01595200,dry,constant,first0day,Inf
01595200,dry,constant,prc0,0
01595200,dry,seasonal,first0day,Inf
01595200,dry,seasonal,prc0,0
01595200,avg,constant,first0day,Inf
01595200,avg,constant,prc0,0
01595200,avg,seasonal,first0day,Inf
01595200,avg,seasonal,prc0,0
01595200,wet,constant,first0day,Inf
01595200,wet,constant,prc0,0
01595200,wet,seasonal,first0day,Inf
01595200,wet,seasonal,prc0,0
01608500,dry,constant,first0day,Inf
01608500,dry,constant,prc0,0
01608500,dry,seasonal,first0day,Inf
01608500,dry,seasonal,prc0,0
01608500,avg,constant,first0day,Inf
01608500,avg,constant,prc0,0
01608500,avg,seasonal,first0day,Inf
01608500,avg,seasonal,prc0,0
01608500,wet,constant,first0day,Inf
01608500,wet,constant,prc0,0
01608500,wet,seasonal,first0day,Inf
01608500,wet,seasonal,prc0,0
02011400,dry,constant,first0day,Inf
02011400,dry,constant,prc0,0
02011400,dry,seasonal,first0day,Inf
02011400,dry,seasonal,prc0,0
02011400,avg,constant,first0day,Inf
02011400,avg,constant,prc0,0
02011400,avg,seasonal,first0day,Inf
02011400,avg,seasonal,prc0,0
02011400,wet,constant,first0day,Inf
02011400,wet,constant,prc0,0
02011400,wet,seasonal,first0day,Inf
02011400,wet,seasonal,prc0,0
02011500,dry,constant,first0day,Inf
02011500,dry,constant,prc0,0
02011500,dry,seasonal,first0day,Inf
02011500,dry,seasonal,prc0,0
02011500,avg,constant,first0day,Inf
02011500,avg,constant,prc0,0
02011500,avg,seasonal,first0day,Inf
02011500,avg,seasonal,prc0,0
02011500,wet,constant,first0day,Inf
02011500,wet,constant,prc0,0
02011500,wet,seasonal,first0day,Inf
02011500,wet,seasonal,prc0,0
02011800,dry,constant,first0day,Inf
02011800,dry,constant,prc0,0
02011800,dry,seasonal,first0day,Inf
02011800,dry,seasonal,prc0,0
02011800,avg,constant,first0day,Inf
02011800,avg,constant,prc0,0
02011800,avg,seasonal,first0day,Inf
02011800,avg,seasonal,prc0,0
02011800,wet,constant,first0day,Inf
02011800,wet,constant,prc0,0
02011800,wet,seasonal,first0day,Inf
02011800,wet,seasonal,prc0,0
02077200,dry,constant,first0day,175
02077200,dry,constant,prc0,0.3958904109589041
02077200,dry,seasonal,first0day,162
02077200,dry,seasonal,prc0,0.38372602739726025
02077200,avg,constant,first0day,Inf
02077200,avg,constant,prc0,0
02077200,avg,seasonal,first0day,257
02077200,avg,seasonal,prc0,0.027068493150684932
02077200,wet,constant,first0day,Inf
02077200,wet,constant,prc0,0
02077200,wet,seasonal,first0day,Inf
02077200,wet,seasonal,prc0,0
02110704,dry,constant,first0day,136
02110704,dry,constant,prc0,0.12893150684931506
02110704,dry,seasonal,first0day,137
02110704,dry,seasonal,prc0,0.2756164383561644
02110704,avg,constant,first0day,Inf
02110704,avg,constant,prc0,0
02110704,avg,seasonal,first0day,Inf
02110704,avg,seasonal,prc0,0
02110704,wet,constant,first0day,Inf
02110704,wet,constant,prc0,0
02110704,wet,seasonal,first0day,Inf
02110704,wet,seasonal,prc0,0
02156500,dry,constant,first0day,Inf
02156500,dry,constant,prc0,0
02156500,dry,seasonal,first0day,Inf
02156500,dry,seasonal,prc0,0
02156500,avg,constant,first0day,Inf
02156500,avg,constant,prc0,0
02156500,avg,seasonal,first0day,Inf
02156500,avg,seasonal,prc0,0
02156500,wet,constant,first0day,Inf
02156500,wet,constant,prc0,0
02156500,wet,seasonal,first0day,Inf
02156500,wet,seasonal,prc0,0
02160105,dry,constant,first0day,Inf
02160105,dry,constant,prc0,0
02160105,dry,seasonal,first0day,Inf
02160105,dry,seasonal,prc0,0
02160105,avg,constant,first0day,Inf
02160105,avg,constant,prc0,0
02160105,avg,seasonal,first0day,Inf
02160105,avg,seasonal,prc0,0
02160105,wet,constant,first0day,Inf
02160105,wet,constant,prc0,0
02160105,wet,seasonal,first0day,Inf
02160105,wet,seasonal,prc0,0
02160700,dry,constant,first0day,Inf
02160700,dry,constant,prc0,0
02160700,dry,seasonal,first0day,Inf
02160700,dry,seasonal,prc0,0
02160700,avg,constant,first0day,Inf
02160700,avg,constant,prc0,0
02160700,avg,seasonal,first0day,Inf
02160700,avg,seasonal,prc0,0
02160700,wet,constant,first0day,Inf
02160700,wet,constant,prc0,0
02160700,wet,seasonal,first0day,Inf
02160700,wet,seasonal,prc0,0
02163001,dry,constant,first0day,Inf
02163001,dry,constant,prc0,0
02163001,dry,seasonal,first0day,Inf
02163001,dry,seasonal,prc0,0
02163001,avg,constant,first0day,Inf
02163001,avg,constant,prc0,0
02163001,avg,seasonal,first0day,Inf
02163001,avg,seasonal,prc0,0
02163001,wet,constant,first0day,Inf
02163001,wet,constant,prc0,0
02163001,wet,seasonal,first0day,Inf
02163001,wet,seasonal,prc0,0
02168504,dry,constant,first0day,Inf
02168504,dry,constant,prc0,0
02168504,dry,seasonal,first0day,Inf
02168504,dry,seasonal,prc0,0
02168504,avg,constant,first0day,Inf
02168504,avg,constant,prc0,0
02168504,avg,seasonal,first0day,Inf
02168504,avg,seasonal,prc0,0
02168504,wet,constant,first0day,Inf
02168504,wet,constant,prc0,0
02168504,wet,seasonal,first0day,Inf
02168504,wet,seasonal,prc0,0
02169000,dry,constant,first0day,Inf
02169000,dry,constant,prc0,0
02169000,dry,seasonal,first0day,Inf
02169000,dry,seasonal,prc0,0
02169000,avg,constant,first0day,Inf
02169000,avg,constant,prc0,0
02169000,avg,seasonal,first0day,Inf
02169000,avg,seasonal,prc0,0
02169000,wet,constant,first0day,Inf
02169000,wet,constant,prc0,0
02169000,wet,seasonal,first0day,Inf
02169000,wet,seasonal,prc0,0
02204070,dry,constant,first0day,Inf
02204070,dry,constant,prc0,0
02204070,dry,seasonal,first0day,Inf
02204070,dry,seasonal,prc0,0
02204070,avg,constant,first0day,Inf
02204070,avg,constant,prc0,0
02204070,avg,seasonal,first0day,Inf
02204070,avg,seasonal,prc0,0
02204070,wet,constant,first0day,Inf
02204070,wet,constant,prc0,0
02204070,wet,seasonal,first0day,Inf
02204070,wet,seasonal,prc0,0
02207120,dry,constant,first0day,Inf
02207120,dry,constant,prc0,0
02207120,dry,seasonal,first0day,Inf
02207120,dry,seasonal,prc0,0
02207120,avg,constant,first0day,Inf
02207120,avg,constant,prc0,0
02207120,avg,seasonal,first0day,Inf
02207120,avg,seasonal,prc0,0
02207120,wet,constant,first0day,Inf
02207120,wet,constant,prc0,0
02207120,wet,seasonal,first0day,Inf
02207120,wet,seasonal,prc0,0
02207185,dry,constant,first0day,Inf
02207185,dry,constant,prc0,0
02207185,dry,seasonal,first0day,226
02207185,dry,seasonal,prc0,0.08158904109589041
02207185,avg,constant,first0day,Inf
02207185,avg,constant,prc0,0
02207185,avg,seasonal,first0day,Inf
02207185,avg,seasonal,prc0,0
02207185,wet,constant,first0day,Inf
02207185,wet,constant,prc0,0
02207185,wet,seasonal,first0day,Inf
02207185,wet,seasonal,prc0,0
02207385,dry,constant,first0day,Inf
02207385,dry,constant,prc0,0
02207385,dry,seasonal,first0day,Inf
02207385,dry,seasonal,prc0,0
02207385,avg,constant,first0day,Inf
02207385,avg,constant,prc0,0
02207385,avg,seasonal,first0day,Inf
02207385,avg,seasonal,prc0,0
02207385,wet,constant,first0day,Inf
02207385,wet,constant,prc0,0
02207385,wet,seasonal,first0day,Inf
02207385,wet,seasonal,prc0,0
02207400,dry,constant,first0day,Inf
02207400,dry,constant,prc0,0
02207400,dry,seasonal,first0day,212
02207400,dry,seasonal,prc0,0.17435616438356163
02207400,avg,constant,first0day,Inf
02207400,avg,constant,prc0,0
02207400,avg,seasonal,first0day,Inf
02207400,avg,seasonal,prc0,0
02207400,wet,constant,first0day,Inf
02207400,wet,constant,prc0,0
02207400,wet,seasonal,first0day,Inf
02207400,wet,seasonal,prc0,0
02208150,dry,constant,first0day,Inf
02208150,dry,constant,prc0,0
02208150,dry,seasonal,first0day,Inf
02208150,dry,seasonal,prc0,0
02208150,avg,constant,first0day,Inf
02208150,avg,constant,prc0,0
02208150,avg,seasonal,first0day,Inf
02208150,avg,seasonal,prc0,0
02208150,wet,constant,first0day,Inf
02208150,wet,constant,prc0,0
02208150,wet,seasonal,first0day,Inf
02208150,wet,seasonal,prc0,0
02217274,dry,constant,first0day,Inf
02217274,dry,constant,prc0,0
02217274,dry,seasonal,first0day,224
02217274,dry,seasonal,prc0,0.08745205479452055
02217274,avg,constant,first0day,Inf
02217274,avg,constant,prc0,0
02217274,avg,seasonal,first0day,Inf
02217274,avg,seasonal,prc0,0
02217274,wet,constant,first0day,Inf
02217274,wet,constant,prc0,0
02217274,wet,seasonal,first0day,Inf
02217274,wet,seasonal,prc0,0
02218565,dry,constant,first0day,Inf
02218565,dry,constant,prc0,0
02218565,dry,seasonal,first0day,Inf
02218565,dry,seasonal,prc0,0
02218565,avg,constant,first0day,Inf
02218565,avg,constant,prc0,0
02218565,avg,seasonal,first0day,Inf
02218565,avg,seasonal,prc0,0
02218565,wet,constant,first0day,Inf
02218565,wet,constant,prc0,0
02218565,wet,seasonal,first0day,Inf
02218565,wet,seasonal,prc0,0
02296750,dry,constant,first0day,497
02296750,dry,constant,prc0,0.031068493150684932
02296750,dry,seasonal,first0day,13657
02296750,dry,seasonal,prc0,7.123287671232877e-4
02296750,avg,constant,first0day,Inf
02296750,avg,constant,prc0,0
02296750,avg,seasonal,first0day,Inf
02296750,avg,seasonal,prc0,0
02296750,wet,constant,first0day,Inf
02296750,wet,constant,prc0,0
02296750,wet,seasonal,first0day,Inf
02296750,wet,seasonal,prc0,0
02298202,dry,constant,first0day,81
02298202,dry,constant,prc0,0.26975342465753427
02298202,dry,seasonal,first0day,109
02298202,dry,seasonal,prc0,0.20783561643835616
02298202,avg,constant,first0day,Inf
02298202,avg,constant,prc0,0
02298202,avg,seasonal,first0day,Inf
02298202,avg,seasonal,prc0,0
02298202,wet,constant,first0day,Inf
02298202,wet,constant,prc0,0
02298202,wet,seasonal,first0day,Inf
02298202,wet,seasonal,prc0,0
02330450,dry,constant,first0day,Inf
02330450,dry,constant,prc0,0
02330450,dry,seasonal,first0day,Inf
02330450,dry,seasonal,prc0,0
02330450,avg,constant,first0day,Inf
02330450,avg,constant,prc0,0
02330450,avg,seasonal,first0day,Inf
02330450,avg,seasonal,prc0,0
02330450,wet,constant,first0day,Inf
02330450,wet,constant,prc0,0
02330450,wet,seasonal,first0day,Inf
02330450,wet,seasonal,prc0,0
02334430,dry,constant,first0day,Inf
02334430,dry,constant,prc0,0
02334430,dry,seasonal,first0day,Inf
02334430,dry,seasonal,prc0,0
02334430,avg,constant,first0day,Inf
02334430,avg,constant,prc0,0
02334430,avg,seasonal,first0day,Inf
02334430,avg,seasonal,prc0,0
02334430,wet,constant,first0day,Inf
02334430,wet,constant,prc0,0
02334430,wet,seasonal,first0day,Inf
02334430,wet,seasonal,prc0,0
02334480,dry,constant,first0day,Inf
02334480,dry,constant,prc0,0
02334480,dry,seasonal,first0day,Inf
02334480,dry,seasonal,prc0,0
02334480,avg,constant,first0day,Inf
02334480,avg,constant,prc0,0
02334480,avg,seasonal,first0day,Inf
02334480,avg,seasonal,prc0,0
02334480,wet,constant,first0day,Inf
02334480,wet,constant,prc0,0
02334480,wet,seasonal,first0day,Inf
02334480,wet,seasonal,prc0,0
02334578,dry,constant,first0day,Inf
02334578,dry,constant,prc0,0
02334578,dry,seasonal,first0day,273
02334578,dry,seasonal,prc0,0.013808219178082191
02334578,avg,constant,first0day,Inf
02334578,avg,constant,prc0,0
02334578,avg,seasonal,first0day,Inf
02334578,avg,seasonal,prc0,0
02334578,wet,constant,first0day,Inf
02334578,wet,constant,prc0,0
02334578,wet,seasonal,first0day,Inf
02334578,wet,seasonal,prc0,0
02334885,dry,constant,first0day,Inf
02334885,dry,constant,prc0,0
02334885,dry,seasonal,first0day,597
02334885,dry,seasonal,prc0,0.008109589041095891
02334885,avg,constant,first0day,Inf
02334885,avg,constant,prc0,0
02334885,avg,seasonal,first0day,Inf
02334885,avg,seasonal,prc0,0
02334885,wet,constant,first0day,Inf
02334885,wet,constant,prc0,0
02334885,wet,seasonal,first0day,Inf
02334885,wet,seasonal,prc0,0
02335000,dry,constant,first0day,Inf
02335000,dry,constant,prc0,0
02335000,dry,seasonal,first0day,Inf
02335000,dry,seasonal,prc0,0
02335000,avg,constant,first0day,Inf
02335000,avg,constant,prc0,0
02335000,avg,seasonal,first0day,Inf
02335000,avg,seasonal,prc0,0
02335000,wet,constant,first0day,Inf
02335000,wet,constant,prc0,0
02335000,wet,seasonal,first0day,Inf
02335000,wet,seasonal,prc0,0
02335350,dry,constant,first0day,Inf
02335350,dry,constant,prc0,0
02335350,dry,seasonal,first0day,Inf
02335350,dry,seasonal,prc0,0
02335350,avg,constant,first0day,Inf
02335350,avg,constant,prc0,0
02335350,avg,seasonal,first0day,Inf
02335350,avg,seasonal,prc0,0
02335350,wet,constant,first0day,Inf
02335350,wet,constant,prc0,0
02335350,wet,seasonal,first0day,Inf
02335350,wet,seasonal,prc0,0
02336030,dry,constant,first0day,Inf
02336030,dry,constant,prc0,0
02336030,dry,seasonal,first0day,Inf
02336030,dry,seasonal,prc0,0
02336030,avg,constant,first0day,Inf
02336030,avg,constant,prc0,0
02336030,avg,seasonal,first0day,Inf
02336030,avg,seasonal,prc0,0
02336030,wet,constant,first0day,Inf
